Chester Hill Station,216220,150.9994456,-33.8835435,10101405,02 9379 7703,"Chester Hill Rd, Chester Hill",2002|2004|2005|2006|2007|2008,3003|3008|3010|3011,1001|1002|1005
Circular Quay,200020,151.2103898,-33.86132358,10101103,02 9224 3553,"Alfred St, Sydney",2004|2005|2006|2015|2007|2008|2010|2012,3001|3002|3003|3005|3006|3008|3009|3011,1001|1002|1003|1005
Clarendon Station,275630,150.7885628,-33.60895245,10101243,02 9851 7249,"Racecourse Rd, Clarendon",2003|2004|2005|2006|2007|2008|2009|2010|2011,3003|3004|3006|3008|3010|3011,1001
Clyde Station,214230,151.0174895,-33.83628176,10101220,02 9848 9212,"Berry St, Clyde",2004|2005|2006|2015|2007|2008,3003|3005|3006|3008|3010|3011,1001
Coalcliff Station,250850,150.9772427,-34.24225043,10101359,02 4223 5569,"Lawrence Hargrave Dr, Coalcliff",2003|2004|2006|2007|2008,3008|3010|3011,1001|1002
Cockle Creek Station,228430,151.6233813,-32.94270992,10101155,02 4962 9437,"Lake Rd, Cockle Creek",2003|2004|2007,3008|3010|3011|3016,1001|1002
Coledale Station,251530,150.9433353,-34.28938913,10101423,02 4223 5573,"Cater St, Coledale",2003|2004|2007|2008,3008|3010|3011|3017,1001|1005
Como Station,222610,151.0679988,-34.00426616,10101343,02 9522 1244,"Como Pde, Como",2001|2002|2003|2004|2006|2007|2008|2009,3003|3008|3009|3010|3011,1001
Concord West Station,213810,151.0856262,-33.84873998,10101204,02 9752 8421,"Queen St, Concord West",2004|2005|2006|2015|2007|2008|2009|2010|2011|2013,3001|3003|3005|3008|3011,1001
Coniston Station,250030,150.8855292,-34.43745489,10101373,02 4223 5529,"Gladstone Ave, Coniston",2001|2002|2003|2004|2006|2007|2008|2009|2010,3010|3011,1001|1002|1005
Corrimal Station,251820,150.9049716,-34.37572692,10101368,02 4223 5580,"Murray Rd, Corrimal",2001|2002|2003|2004|2005|2006|2007|2008|2009|2010,3001|3004|3009|3011,1001|1005
